Value,Part #,Part Name,Quantity,Link
DPDT,JS202011AQN,Side switch,1,https://www.mouser.com/ProductDetail/CK/JS202011AQN?qs=LgMIjt8LuD%252Bmsz6wAeWWtQ%3D%3D&gclid=CjwKCAjwp_zkBRBBEiwAndwD9YOkfw9PO62BPkfxG6P0ZNCj_5_zU942p-ZQWeuoMIcuPUzr2JwGYhoCmakQAvD_BwE
5v,LD1117S50CTR,SMD Voltage regulator,1,https://www.mouser.com/ProductDetail/511-LD1117S50C-TR
M2,,Screws,2,
,,Washers,2,
B10k,PTA4543-2015DPB103,Fader,1,https://www.mouser.com/ProductDetail/Bourns/PTA4543-2015DPB103?qs=U%2FacTlguYxbmwS%2FtylIWJw%3D%3D
"1/8""",,Thonkicon Jack,1,
10uF,JMK212ABJ106KD-T,0805 SMD Capacitor,2,https://www.mouser.com/ProductDetail/810-CGA4J1X7S1E106K1
22uF,UPM1V220MDD1TD,Electrolytic Capacitor,1,https://www.mouser.com/ProductDetail/647-UPM1V220MDD1TD
,1N5817-T,SCHOTTKY Diode,1,https://www.mouser.com/ProductDetail/621-1N5817
,,Fader Cap,1,
2x5 pins,67996-410HLF,Eurorack Power Header,1,https://www.mouser.com/ProductDetail/649-67996-410HLF
,,PCB,1,
,,Panel,1,
